title,artist,lyrics,emotion
Yargısız İnfaz II,Eal F. Skillz,"[Verse 1] Her gün savaş, her gün kavga, olup bitenler amma Yaşıyorum ve yazıyorum, ayaktayım ben hala Öldürmeye çalıştınız ben direnince şaştınız; Öldürdünüz belki ama silemediniz kaçtınız Yüzleşmek istemiyorum yalandan yüzlerle Bakışmak mı? Almayayım yalancı gözlerle Bir senem geçti içten olmayan sözlerle İçimi dışa vurdum karaladığım bu textlerle Aforizmalarımı paylaştığım şarkılarımda Karşı çıktım onca paradigmalara Yazdım, yaktım, karaladım; sildim, attım, paraladım Kağıtları tüketmekse bi tek net var ortada: Ya varsındır ya yoksun. Üçüncü hal imkansız Hiçbir birey olamaz istese de tarafsız Harpteyim ben bugün ama yarınlarım kaygısız Yarın zaten olmayacağım, infazımsa yargısız [Hook] Yargısız bu infazı gerçekleştir Gözümün yaşına hiç bakmadan Sorgusuzca hapsolmuşken ben Karanlıktan korkamam [Verse 2] Aydınlığa giden yolda kurşunlar sıkılabilir Hayat acımasız, buna kim karşı gelebilir? Param varsa sevgi var mı? Olmadığından bilmem ki Olduğunda çözeceğim sorunlar var illa ki Kafana sıktığın vakit kaçamazsın sorunlardan Arkanda bıraktığın onca iş ve insan var Anlamlandıramazsa sorunludur insanlar Isyan var, insaf lan, ismini yaz, imzala! İdam öncesi istenen son yemek kadar umutsuzum Sona sakladığım olsun isterdim büyük kozum Çaresizim lakin sende kalsın bütün tozun, dozun Kaybedersem onsuzum, kazanırsam sonsuzum Vedalaşıp dünlerle soğukkanlı olmalı ve Helalleş gardiyan ile, on beş sene duyduğun tek sesle Kulaklarda beste. Ölüm marşı yankılanır Ömür marşı şarkılarsa anlatır",öfke
Farklı Seçenek,Eal F. Skillz,"[Verse 1: Eal F. Skillz] Varoş Mc'siyim der ama kafada New Era Anlamadım bu işi neler dönüyor burada İsterdim ki kişilikler oturaklı olsa; El sıkacak sanmıştım aparkattı oysa Puşta puşt demeden puştluğu nasıl anlatırsın? Sokak arasına girme sakın, harcanırsın Mesleğin ne diye sorsan der anca ""hırsız"" Haklı mı, haksız mı? Muamma; belki arsız Gözde korku yok çünkü kaybedecek bir şeyi yok Kaybedecek bir şeyi olmayandan kork İnsanlar aç burada, kimse değil Rick Ross Çalar Rash Beat, söyler Eal, değil Kriss Kross Gördüğünüz gibi çokça karmaşık durum var Bilemiyorum nasıl düzelir durumlar Çözmek için toplamalıyız kurultay Belki bize farklı seçenekler sunarlar [Hook: Azza] x2 [Verse 2: Azza] [Hook: Azza] x4",öfke
Fado Fiesta Futbol,Eal F. Skillz,"[Verse 1] Karmaşıklık artık alışılmışın dışında değil Arka köşeden çıkageldim bir hışımla, eğim Fazla geldi, dengeyi tutturamam Sean gibi Hayatım abstraktan yoksun kalmış sahte galeri İskoçya karşısında tutamam ben Galler'i Polislere karşıdır Glasgow Celtic sempatim Oy isteyen puşta bastım evet değil siktiri Oy pusulam yolunu şaşmış olmalı, değil mi? Tabula rasa halindeyken doldurdular F'leri Senden olmayana karşı daimi kin beslenir Felsefe mi? Siktir et. Kitap komünist işi Aman saçını görmeyelim, hemen kapan yobaz dişi Beni mastermind'da yenen çıkmaz. Senin çenen durmaz Uyku kaçtığında kağıda kaleme sarılır şiirbaz Güzel bir iki satır sonunda anlatılmaz alınan haz Dandik bir iki satır sonunda dur düşün biraz [Verse 2] 3F'miz 3G'lik kuvvetle verilir. Bu halkın çektiği de Dayanılır değildir Güç birliği olmaksızın pompalanır faşizm Gerçek olan futbol değil, bombalardır realizm Tabi bana biraz izin verirseniz anlatayım Eğer Fatih Terim'seniz beni hiç uğraştırmayın Ne söylesem nafile, yola çıkan o kafile.. Neyse bu konuyu kapatalım; geçelim artık sahiye Tesla bile isyanda zamlı elektriğe Klimalar kapandı ama hava kırk sekiz derece Bilim adamlarımız kaçtı Birleşik Devletler'e Sularımız da arsenikli; basiretsiz Melih Gökçek İşte bahsettiğim bu, suni gündemlere rest çek Gerçekleri konuşarak doğru yollar bulunur elbet Burada devlet derler ama işler işler kararında Artık olsun icraatler halkın yararına",öfke
Extraordinary Rappa,Eal F. Skillz,"[Verse 1] Hecelemekle başlar her şey; önce ""Ali bak!"" dersin Bir de bakmışsın Ali üniversitede ders vakti Önünde duran 500 sayfa kitaplarda kaybolursun Sonra devam ederim nasılsa, bırak kenarda dursun Bir saat yol otobüsle her sabahki işkence Polyanna olalım şimdi: iPodunda Slug Sage'le Stuck derler veya Doomage, azıcık rahatlarız ve Yanındaki koltuktaki herif tam anlamıyla dickhead Kampüste minimum tuttuğun adım sayın adamlığından Fakülte yolu boş takılan insanların arasından Geçerken görürsün saçma tipler yeşil kafalarla Önyargılar yüzünden bandana takmadığın kafanla Önüne bakıp yürürsün; bir iki tanıdık görürsün Wassup massap hikayeden selamlaşma, derse koş lan! Geç kalmak adetin olmuş, bahanen geç kaldı dolmuş Kimsenin umrunda değil zaten amfi çoktan dolmuş [Hook] x2 Sıradan bir hayatı sıradışı yapmak için Elinden ne geliyorsa yap, her şey sırat için Değil yaşam gelir geçer Cenazende ne demişler? ""İyi bilirdik."" Bana yetmez Eal şimdi bırakır izler [Verse 2] Farklı olma çabasında olmasan da farklısın ve Bu dünyada her bireyde, her beyinde ayrılık var Az zamanda çokça iş yapanlar önde olsalar da Son karede turnayı vuranlar yadsınamazlar Herkesin hayatında gizli trickler, hileler var Eskiyi hatırlasana çocukluğunda bilyeler dar Sokaklarda, daha da eski, sokaklarda vurulanlar Çalkantılı dönemleri atlattık çok büyük pahayla Şimdilerde tarihin kara tablosu yeniden ortalarda Tüm sorumluluğu atmak istiyorlar başkalarına Aş yok arama, para yok arama Ekonomik kriz kapıdan içeri girdi baksana Görmüyor musunuz, asıl gündemin üstü örtülü Sorunumuz olmayanlar flaş haberden yayında Kartel medya safsatayla doldu, insanım hala uykuda Beni sinir eden de bu, uyansanıza! [Hook] x2",melankoli
Rakibinim,ndigo (TR),"[Nakarat] Zorlama beni, ben rakibinim Rekabet ediyo'z, düşmanın değilim Oynama sakın oyun, kapiş d'i' mi? Salça olmak için hap iç gidip [Verse 1] Sevmiyo'm pek Türkçe rapçilerini, havalı sert MC'lerini Tehditle konuşur, stili budur. Sevmezsen işini sinirin bozulur Çete kurup Rap yap üç kişiyle. Küfürler komik olur süt dişiyle Ürünün tırt, gününün ayır birçoğunun kafiye peşinde yorulup Bilmiyo'n öğren nasıl iş yapılır ama buna engel kasıntı yapınız Uyardım sizi sert çocuklar bi' kez geçsin dedim gel koçum bize Freestyle King benim reklamım oldu ama asıl kaynağı ritmimi bulduğum Yer defter bir de kalem elime de gelirse kusabilirim hepinizin üzerine [Nakarat] Zorlama beni, ben rakibinim Rekabet ediyo'z, düşmanın değilim Oynama sakın oyun, kapiş d'i' mi? Salça olmak için hap iç gidip Zorlama beni, ben rakibinim Rekabet ediyo'z, düşmanın değilim Oynama sakın oyun, kapiş d'i' mi? Salça olmak için hap iç gidip [Verse 2] Ben bi' MC'yim paramı bundan kazanmak zorunda yoksa yok ol'ca'm Hayatta tutmak için İndigo'yu lazım her gün 10 lira, bilmiyo'sun Feat için geliyo' bak çok teklif Space'lere baktım ümidim yok, kestim Rap'ini beğendiğim tek adam Epik, sevenim ya da değil geri kalanı ezik Bi' ton iş yaptım part time, extra, az para aldım sonuç hep dram ama Yeni karar aldım satıca'm Rap'imi, feat, CD ya da sahneden en kral Tabii ki amacım bandrol agacım, bekliyo'm şimdilik panto yamalı Yüzümde izi var az çok acının, 19 üç gün pandora açılır [Nakarat] Zorlama beni, ben rakibinim Rekabet ediyo'z, düşmanın değilim Oynama sakın oyun, kapiş d'i' mi? Salça olmak için hap iç gidip Zorlama beni, ben rakibinim Rekabet ediyo'z, düşmanın değilim Oynama sakın oyun, kapiş d'i' mi? Salça olmak için hap iç gidip",öfke
Erotizma,Mode XL,"[""Erotizma"" için şarkı sözleri] [Verse 1: Evren Besta] Şunu bırakın kendi haline kendi köşesine çekilsin Terapiye henüz başlamadım bile ordumu sen daha hiç görmedin Ben senin serseri katilinim serseri beatleri beynine veririm Bayrağı yatak odanın dört köşesine dikerim Mirabeat'te kim varsa hepsini götten sikerim (sikerim) Bu benim serseri serbest stilim Pesimist duygulara sadece tek round veririm Altın Jak gerilim Belki kaptanıydın şehrinin ama sen gemini bırakıp terk ettin Sevk ettin sen bizi bunu yapmaya Gönderdik yedi renkli karanfilleri serpiştirdik mezarına Sen aklına takılana bakana kadar biz yola çıktık konvoyla Senin için daha birçok beat zulada [Nakarat: Evren Besta & VEYasin] Silahını anlattığın gibi: Kur, kur, kur, kur! Pisliklerin anlattıkları gibi: Vur, vur, vur! Silahını anlattığın gibi: Kur, kur, kur, kur! Pisliklerin anlattıkları gibi: Vur, vur, vur! [Verse 2: VEYasin] Basemode biri beni sustursun Mode XL'i kabus bulursun Code Ankara'da senin ismin yok, siktir Her rap'im fixtir, bu flow'ları dinle seni kendine getirir Burjuva piçleri için rap ne demektir söyler misin Kütüphaneye git cilt cilt ansiklopedi karıştır bana söz yaz Buluruz sana bir tarz seni sikmek farz Acid jazz plaklarından kendine pesimize bir mezar kaz Azdırdığımız beatler hey sürtük seni kim sikler Siki tutan ellerin sahibi sizler (ah) Merkezden seslenen bizler aksanını çizecek Seni arkadan düzecekler (hahahaha) Seni arkadan düzecekler (hah) [Nakarat: Evren Besta & VEYasin] Silahını anlattığın gibi: Kur, kur, kur, kur! Pisliklerin anlattıkları gibi: Vur, vur, vur! Silahını anlattığın gibi: Kur, kur, kur, kur! Pisliklerin anlattıkları gibi: Vur, vur, vur! [Scratch] Bu benim serseri serbest stilim Ankara, hey Sürtük seni kim sikler? Seni arkandan düzecekler Pesimist, siktir",üzgün
Devrim İçin Savaş Kısa Versiyon,Eal F. Skillz,"[Hook] x2 Ülken için savaş! Halkın için savaş! Hakkın için savaş! Devrim için savaş! [Verse 1] '38 sonrası, perde arkası Çok partili düzende Cumhuriyet Fırkası Paraların üstünde İsmet Paşa ne diye? Atatürk'ü isteriz! Merkez Bankası nereye? Hortumların en büyüğü Tayyip Bey'in elinde Hazineyi akıttınız yandaşların cebine Yoldaşlarımla beraber karşıyız bu düzene Çünkü özgürlükçüyüz; darağacı ise size Denizleri astınız, susacağız mı sandınız? '72 Kızıldere katliamlar yaptınız Maraş ya da Malatya; olaylar dorukta İşkenceci deşifre, şimdi kıçını kolla Ben Aleviyim, Kürt'üm, ben Müslümanım Protestan, Ortodoks, Hıristiyanım Hindu ya da agnostik, belki de deistim Ne fark eder a**** k******, ben insanım [Hook] x2 Ülken için savaş! Halkın için savaş! Hakkın için savaş! Devrim için savaş! [Verse 2] Ben karşıyım çok şeye, özellikle bir şeye: Sınıf ayrımına hayır! İşine gelirse Işini yaparsın çünkü aklın paranda İhaleler, fesatlar gizli dosyalarda Kamer Genç'e kalkan el, mecliste barbarlar Aziz Nesin mezarından size nah çeker lan! Madımak'ta yandı can, aktı kan, baktılar Müdahale neden yok? Sadece baktılar...",üzgün
Dönüm Noktası,Eal F. Skillz,"[Verse 1: Eal F. Skillz] Bugün benim için dönüm noktası Dibe vuruşumun kanıtıdır gece yarısı Elde kalanlar gidenleri hatırlatır Elde kalan yok; gidenleri çoktan unuttum Yasaklı kitaplarda yapraklar kuruttum Çünkü sıfırdayım, şu an hatırdayım O an aklımdan çıkmaz Çok yalan, çok dolan, yok param, aman.. Çıkış yolu var ama bütün yollar tıkalı Geçti günler aylar ben ondan bıkalı Artık alın beni benden. Kimi yerden göğe haklı Çifte standart yaratır farkı Cebindeki bozuklukları bütünle Hayat; saçmalıklar silsilesi bütünde Siktir et, takma, en kötü gününde Kulağında müziğin, sadece dinle [Verse 2: Cevap] 7. kattan aşağı atmak kendini zor değil mi serseri? Ezip geçerken ben seni, şimdi sen delir Koşarken yarım adımla bu yollarda tek tabanca Sığ sözlerinle nereye kadar bir yerde patlar Canımı sıkmaya başladı yapılan işler artık lan Uzaktan bile alakası yok hiçbir mantıkla Hata bizdeymiş bunu adam sandık da Aldık yanımıza, değeri eşit ibne bir kancıkla Götünle dinlersin parçamı, sonra sonuç Silindin giremediğin piyasadan şimdi sıç Üstünde taşıyabildiğin ne var ki isminden başka? Mc olunmuyor bitch, kafaya full cap takmakla Ve bu salak adamları def ederler ortamdan Çünkü haberi yoktur hiçbir yol yordamdan Ağır takılır ama annesinden korkarlar Son satır bu dönüm noktası, son nokta",üzgün
Abstraction,Eal F. Skillz,"[Verse 1] Dışarda yağmur, içimde fırtına.. Dışarda loşluk, içimde boşluk.. Bilincim her zamankinden daha açık ama Birinci gelememem değil asıl sorun olan -Asıl sorun olan ne? -Asıl sorun olan ben Anlatmak istediklerim var aklıma gelmeyen Benim değerlerim var bana değer vermeyen Anlatırım lakin asla anlamanı beklemem -Evet biliyorum -Biraz karmaşık, iç içe geçmiş Doğruyu seçmiş, yanlışı geçmiş Bastırılmış duygularımı optimize edemedim [Verse 2] Her şey bulanıklaştı, nedeni ne? Kendimde miyim ben nerdeyim? Hangi saatte kimleyim? Bilmediğim mekanlarda, bilmediğim insanlarla Bilmediğim sokaklarda, dolaşır oldum ansızın Savaşır oldum onca adsız hissiyatla Hissiz atla sonsuz boşluğa; yağar damla damla. -damla damla- Paradoksal terazi dengedışı, fonksiyonlar devredışı Odamı aydınlatan bir mum ışığı Kendi kendimle, kendi kendime alışığım Derdi varsa bana ne, karmakarışığım Sanma ki var yakarışım, biter işim kaparım ışığı; Bir tebeşir yazarım ışığı; bir tek eşim kapar ışığı",öfke
Çıkıştan Önce Son Köprü Geçenler Kalanlar,Eal F. Skillz,"[Verse 1] Sana bilmediğin bir şeyler anlatmak isterdim ama Bildiklerim bildiklerinle tezatlar doğurmakta Sildiklerim yazdıklarımın kalitesini artırırken Giydiklerim kültürümdür, olgunluğum diğer yanda Altyapılarla sözlerim kimyayı tutturursa Tutamazlar beni, haykırırım sözleri dağa taşa Yanlış anlama, boş kalabalığa değil hoş insanlara: Okuyan, düşünen, inancı olanlara Sonuncu olsam da birinciden farkım olmaz ki Hepimiz katıldık, hepimiz yarıştık; bu kafi Ama ne var ki biz iyi şeyler düşündükçe nedense Birileri yolumuza taş koyma telaşı içinde İnsanlar var oldukça akan kan hiç durmaz Biliyorum ki eşit toplum asla oluşturulamaz Suikaste kurban giden fikir adamlarımız çok Tetikçiler nerde, derin devletle el ele [Verse 2] 68, 89, 2008 şu anda Eski günler, zorlu saatler daim hafızalarda Açıklanamaz olaylar ve can alıcı noktalarla Ütopik hayaller realist düşünce karşısında Gerçekçiliğin bittiği anda nihilizm önplanda Kurguladığım tam elmayla gönüllere kazınmaksa Yer edinmek hayli zor, duyulan haz da ama bi' başka... Boş kağıtlara hoş sözleri yazdım aşkla Elimde sararmış yaprak, ucu yakılmış bir parça Devrim sözünü seçtim silik satırlar arasında Onunla 18-19 yıl hatır var aramızda Konumda değişim yok; terör eser sokak ortasında Yanlışlar doğruları götürünce elde var sıfır Tividen savaş yayını, elde patlamış mısır Trajikomik, tirajı yüksek, böyle tiradlar da var; Triathlon gibi koşmak lazım: Mare Nostrum",aşk
Kesit,Eal F. Skillz,"[Verse 1] Zaman zor geçer sabahları yolculuklar Otobüste dakikaları sayarım ama bitmez asla Okul yolu düz derlerdi benimkinde çok kavis var Günde beş bin elin değdiği direği tutarım virajlarda Neyse geçti bi saat geldik kampüs kapısına Kimliği göstermeden geçemezsin buralarda Olayların olduğu rektörlük yolunda yürürken Kafam çok dolu ve bir o kadar boş kalktım erken Sıradan biri gibi full capsiz başım öne eğiktir Derse diye gidiyoz ama muhabbet siyasi geyiktir Hoca anlatır bense içimden derim ""derse katıl"" Diğer yandan ipodumda Slug çalar derse bakın Seçim yapmam gerekmiyor hem müzik hem tahsilat İlköğretim dönemimde de zaten, hep takdir var Hayat güzel gibi bazen derim ama - üzen nedir Dışardan iyi hoş görünür kim bilir psikolojimi [Verse 2] Şimdi bakıyorum da bir sene böyle geçti gitti Nisan ortasındayız zaman ne çabuk ilerledi Aralık ayı çubuk mikrofondan condensera terfi Beş ay boş oturdum artık etmem gerekir telafi Bana bi tedavi yöntemi önerdiler Moruk artık aktif olma vakti geldi dediler Ben de dedim seri olayım bırakıp uyuşukluğu Anlatayım derdimi raple: yüzyılın buluşu Azıcık duygusal ama genelde protest duruşum Arıcıklar bal yapar altıgen petekler oluşur İşte o kusursuzluğa ulaşmak ister daim insan Sınırlar kansız çizilirdi eğer olsa imkan Yazdıklarımdan pişman olmadım ben, olmam da Çünkü inanmadığımı yazmam işim olmaz bunlarla Kavgalar edildi harcandı insanlar hunharca Veda vakti geldiğinde söndürürsün mum varsa",üzgün
Vuruldum Bir Kış Günü,Eal F. Skillz,"Vuruldum bir kış günü kafamda sorularla Yığıldım birden yere, denklemler paradoksal Neler oluyor, başım dönüyor; sıkışıp kaldım buralarda Kurtarılmayı bekleyen 110 vuruş kalbim var 13 - 12 - 07 vurulduğum gündür benim Uzaktakine yakın olmak benim için biraz derin Benim içim biraz serindi; gel de haydi ısıt şimdi Tam bulmuşken kaybedemem; yoksa bir rüya mı neydi? Karşılanamaz beklentiler içerisinde değilim ki Karşı konamaz nedensizce bir iki kelime bana yetti Geldiğinde veda vakti içim kararsa da; Sesinin tonu geçmedi, hala kulağımda Gözümün gözüne değmesini dört gözle bekliyorum Bugün yaşadıklarım tekrarlansın istiyorum Yürüdüğümüz o kısacık yollar öyle bir uzatılsın ki Ömür boyu yol alalım; asla sonu gelmesin",üzgün
Kurmaca Aşk Hikayeleri ve Rüyalar,Eal F. Skillz,"[Verse 1] Biliyorum ne düşünüyorsun Burada işim ne? Bilinçaltıma sormalısın: Esas gelmek isteyene Bazı şeyler alakalı içten hislerimle Gerçeklikse lafta değil, gerçekten öyle, evet Kabul ettim alakalı bazı sözler dış dünyayla Sonraları fark ettim. Peki ne işim var rüyanda? Bir yerlerde rezerveyim, senin derinlerinde Silinmek istenenler ise dönüşümsüz çöplüğünde Gözyaşı kaplarını gördüm, saklanmışlar ölümüme Gözlerini kapatmıştım. Hatırla! Gündönümünde Görüyorum ki yerim sandığımdan çokmuş kat be kat Ve, fakat, ama, ile.. Heyecanlandım bir an bak Aklındayım. Farkındayım. En içten şarkımdayım Aklımdasın. Farkımda mısın? Hiç sanmadığım anlardayım Sanırım tıkılı kalmışım, eski anılardayım Artık gitme vakti geldi, uyan da rüyandan çıkayım [Verse 2] Seni şaşırtmamı bekleme, bunu başaramam Kurmaca rüyana dalan; ben bir megaloman Serkan'a kızdım yine, böyle beate dayanamam Gidişattan belliydi, gerekiyordu karalamam Hayatlardı talan olan, her tarafım kan revan Hatırladın mı o günü? Etmiştik Deniz'e selam Anlamamıştı aynasız, basmıştı hep tekmesini Bilmiyordu ki adam, biz yürütüyorduk teknesini Başka bir gün, farklı bir olay, amacımız aynıydı İstediğimiz sadece Nazım'a birazcık saygıydı Polis anlamadı yine, tekmeyi saydırdı Oysa üstad için ne yakışırdı yaşlı çınar ağacı Benim sosyalist sevgilim, rüyanın içine ettim Belki buruk bir şekilde eski günleri yad ettim Şimdi senden benim için, kalpten gelsin sözlerin Çok klişe bir kafiye ama gerçekten özledim",üzgün
Diagram,Eal F. Skillz,"[Verse 1: Eal F. Skillz] Sıkıldım artık kültürsüz insanlardan Körü körüne bağlanan fanatik hıyarlardan Diskalifiye oldunuz, çıkın artık diagramdan Rahatlamak için saydıracağım tam bir dakikam var Mikrofonda Celph Titled oldum, sense Untitled Benimle başa çıkabilecek sağlamlıkta rhymelar bul Benim style extraordinary, senin laflar fool Gangsta triplerine girme, git evine Half-Life kur Eternal Sunshine'ı geçenlerde bizzat yaşadım A**** k****** ülkedeki binlerce kaşarın Ayda yılda bir parça yaparım, bu benim başarım Aynı yılda yüzlerce parça; olursun alaşağı Bana 2Pac'ım dersen moruk sana gülerim kıçımla Rap yapmayı bırakmazsan dilini keserim hışımla İyi yapanlara her zaman destek olurum, kaçınmam Ama on yılda gelişemeyene tekmeyi koy acımadan [Hook: Acarkhan] Bizi melek sansın aptal ama rengimiz siyah Tehlikeyse hayatın çıkarıp önüme koy silah Yaptığımızın ismi müzik, şeklin hayli kindar Acarkhan, Erhan, Eal. Burada başka kim var? [Verse 2: Erhan Seyran] Aslen kaygım etobur bürokrat Çalsın organı ve yutsun hipokrat Dün kime zarf atıp gündemi işgal F'le geçen puşta benden insaf Hiçbiri dün gibi bilmedi ben kimim? Ses kesip izlemem istenir her şeyi Kim seni şişleyip, kafana işleyip Reddi fikri arabanda tnt Rap müzik yüzde doksan dokuz muzip Mantaliten ölsün, kafaya kostik Post it, lirikali forumuna post it Okeysin desen de yapar o gossip Sivrilen çok piçe mesajım açık ve Benim olanı yargılamak mı? Bok ye! Kapanır yollar, önüme yollar Kapanır elbet, ayağa onlar [Hook: Acarkhan]",aşk
8x8,Eal F. Skillz,"[Verse 1: KC] Güzel hikayeler betimlediğim sayfalar sandıkta Kalmış, tozlarını sirkelerken kirlenmişim ben Geleceğim belirsiz diye hayatım değersiz mi? Boşverin paradokslarımı, yaşamım önemsizdir Karanlık satırlar tafraların terapisti KC namı diğer kavramların realisti İçten gülemiyorum artık, hayatım buruk 30 yaşında gibi yazıyorsam bu hayatın suçu [Vesre 2: Acarkhan] Hayatı aksatıp hayattan büyük darbe yiyen Hayatın dudaklarımda, sanki hepsi elimde Üç kuruşa karakterinle sokakta gezilmez Kulaklarındayım yine bir gün görünce çekinme Bana saldır lütfen sana kazandıracam itibar Gün geldiğinde yaratırım epeyce izdiham Tanımasa da beni duyuyor bunu, bana kini var Senin yerin yurdun da dostlarımla katliam! [Verse 3: Matiz Miras] Sokaklarda kin var artık, kim var benim yanımda? Öldürmenin vakti geldi demektir zil çalınca Cepte kelebek etkisi, sende ne var ne yok? Adını kızıl harflerle yazcaz tarihe kanınla Başarmak için bu son yarış, hatta en son yol Biz beş sene önce de vardık, kimse bilmiyor Elimdeki son kartlarım bir as ve de bir vale Ne oklar yedi de yıkılmadı bu kale [Verse 4: Erhan Seyran] Astım etkisiydi sende, yeni bir şarkı vesile Gırtlağında takılı kelimelerle hırla hırla hırla Yap da boz değil müzik ve sizde bok değil bu kenefe Sekte sek biter mi zıpla geçle onca kene? Rap derim suratta ekşi hippi tipini tut da fink at Görmezden gel piç çevren musikişinas Fazla riziko artı ters giden ilişkiden bi sen Bir de King Kong olur siktir et ve sen de etme dert [Verse 5: Rebez] Brolardan yardım, kırolardan baydım derken ben sana kaydım Yalovadan çıktı pestilin zenci, penisine penisilin uygula nadir Neye kadir bu türkçe rap? Moda mı lan artık dinci rap? Odamı da terket, kuvvet-i emperyal sikerdi sayende bu cep Artık tek cebim Hayko cep, derdime derman nerde acep? Doldur cebe 3-5 kuruş, koca kafanın tek derdi vuruş Velhasıl bu böyledir; koğuş içinde akar fuhuş Reborn gerekli bize anlamadıysan yeniden doğuş [Verse 6: Lira] [Verse 7: Rashness] Saygıdan mı bahsediyordu kankacılığa yönelen boss? Sizden değil ama bizden gelen süper gören her dost Bilir bunu, kimi de dumur modda kalır Eal artı F. ve yetenek burda real, sor bakalım Son model mikrofon benim kalitem ile yolda kalır A*** ve birkaç mal senin destekçin ve çöpçatanın Destek diye bahsedip de karı kız ayağı rap yapmanı Mantıklı bulup da Flaş'a taşıyan adamın aptal adı [Verse 8: Eal F. Skillz] Rap yapmaya meraklıysan moruk burda sahne var Ülkemde siyaset yapanlar Gekko kadar sahtekar Sahtekar demişken Veli Göçer tilki doktor Dikmeye çalıştığın bina elbet elde patlar Doğru Kodes'e girdim dokuz köyden herkes gibi ""Yokuz biz"" der herkes gelip, zaten onlar merkezdedir SonAsker Drainoff, SonAsker Labi SonAsker feci siker lan! Tyler Durden anarşisi",öfke
Biz Buradayız,5 Kar,[Apak] Ben Apak Mikrofonda Bir Kanak Yarım Yamalak Türkçe Lyricleri Dizerim Laklaklak Cartel Parolasıydı Odur Bu Duyduğum Rap Paranoyası 95-96 O Zamanlar İçimi Alev Aldı Yankı Yükselen Bu Ses 5K Mikrofonda Check No Stress Hepimiz Elele Türkçerap’te Bir Nerede? Bir Derede 2 Kerede Desene 5K 5K Bir Kere Girerse Beynine Çıkmaz Bu Kelime Türkçe Rap’in (Tek) Kralı Varsa Çıksın Önüme Nakarat : [C-Nem /Apak/ ] X 2 Biz Buradayız ///5 Karış/// Biz Buradayız ///Buna Alış/// Biz Buradayız ///Ha Ha!/// Biz Buradayız ///5 Karış/// [H-Run] Hayat Boyunca Ömrünü Yaşa Türkçe Rap’i Duy Hemen Kork Kayna Sözleri Dinle Boyun Eğme Türkçe Rap’i Tat Hemen Kork Kayna [C-Nem] Biz Buradayız Derken Bu Sefer Rapi Söyleyen C-Nem Yani Ben RnB'den Türkçe Hip-Hop’a Bir Alo Deniz Apak Yanımda Artık Anlasan 5 Karışta beraberiz Hayatın Her Önemli Anında Nakarat : [C-Nem /Apak/ ] X 2 Biz Buradayız ///5 Karış/// Biz Buradayız ///Buna Alış/// Biz Buradayız ///Ha Ha!/// Biz Buradayız ///5 Karış/// [Deniz] Avrupa Duy Sesimizi 5 Karış Büktü Ensenizi Yo Seni Gidi İniminiminli Mc Rap Oldu Indy'si Köle Evet Öyle Öyle Para Koparana Bakma Bide bana Bak Teypine Sakla Lyrical Atak Sahnede Bakma Sakın Ha Hepsi Palavra Rap Satana 9 Milim Mermi Sakladım Sana 360 Derece Geriye Takla kendini Önleme Al Rapin Topal Önce Domal Sonra da Sat Bilemem Göremem Geldim Bak geri Dönemem Önümdede Yolum Anlatabilebildim mi Sana Olm 5 Karışı Dingillerine Ekle Turkish Hip-Hop’la Elele Dur Havanı İçine Çekme Sakın Kekeleme Bir Bekle Berlinde Rapler Çakılır Hemde Faizle Geri Yaslan Ve 5 Karışı Dinle Yeah What Ah Ah 5 Karışı Dinle (5 karışı Dinle) Nakarat : [C-Nem /Apak/ ] X 4 Biz Buradayız ///5 Karış/// Biz Buradayız ///Buna Alış/// Biz Buradayız ///Ha Ha!/// Biz Buradayız ///5 Karış///,mutlu
